Datos que encuentra el metodo de Euler(variable ind.	 variable dep.	 numero de thread)
0.010580	 -1.#IND00 	 numero de thread:4
0.010600	 -1.#IND00 	 numero de thread:4
0.010620	 -1.#IND00 	 numero de thread:4
0.010640	 -1.#IND00 	 numero de thread:4
0.010660	 -1.#IND00 	 numero de thread:4
0.010680	 -1.#IND00 	 numero de thread:4
0.010700	 -1.#IND00 	 numero de thread:4
0.010720	 -1.#IND00 	 numero de thread:4
0.010740	 -1.#IND00 	 numero de thread:4
0.010760	 -1.#IND00 	 numero de thread:4
0.010780	 -1.#IND00 	 numero de thread:4
0.010800	 -1.#IND00 	 numero de thread:4
0.010820	 -1.#IND00 	 numero de thread:4
0.010840	 -1.#IND00 	 numero de thread:4
0.010860	 -1.#IND00 	 numero de thread:4
0.010880	 -1.#IND00 	 numero de thread:4
0.010900	 -1.#IND00 	 numero de thread:4
0.010920	 -1.#IND00 	 numero de thread:4
0.010940	 -1.#IND00 	 numero de thread:4
0.010960	 -1.#IND00 	 numero de thread:4
0.010980	 -1.#IND00 	 numero de thread:4
0.011000	 -1.#IND00 	 numero de thread:4
0.011020	 -1.#IND00 	 numero de thread:4
0.011040	 -1.#IND00 	 numero de thread:4
0.011060	 -1.#IND00 	 numero de thread:4
0.011080	 -1.#IND00 	 numero de thread:4
0.011100	 -1.#IND00 	 numero de thread:4
0.011120	 -1.#IND00 	 numero de thread:4
0.011140	 -1.#IND00 	 numero de thread:4
0.011160	 -1.#IND00 	 numero de thread:4
0.011180	 -1.#IND00 	 numero de thread:4
0.011200	 -1.#IND00 	 numero de thread:4
0.011220	 -1.#IND00 	 numero de thread:4
0.011240	 -1.#IND00 	 numero de thread:4
0.011260	 -1.#IND00 	 numero de thread:4
0.011280	 -1.#IND00 	 numero de thread:4
0.011300	 -1.#IND00 	 numero de thread:4
0.011320	 -1.#IND00 	 numero de thread:4
0.011340	 -1.#IND00 	 numero de thread:4
0.011360	 -1.#IND00 	 numero de thread:4
0.011380	 -1.#IND00 	 numero de thread:4
0.011400	 -1.#IND00 	 numero de thread:4
0.011420	 -1.#IND00 	 numero de thread:4
0.011440	 -1.#IND00 	 numero de thread:4
0.011460	 -1.#IND00 	 numero de thread:4
